id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,tackles
14316,Nicolás Fonseca,9,308,0,0.0894034868106246,0,0.0806901380419731,5,2,2,0,M S,Real Oviedo,0,0.0894034868106246,1.2429078351706266,1.1535043343901634,La_Liga,10
14323,Julio Díaz,1,90,0,0.0327764712274074,0,0.0134829543530941,1,1,0,0,D,Atletico Madrid,0,0.0327764712274074,0.1804566234350204,0.1341971904039383,La_Liga,1
14334,Thiago Borbas,5,40,0,0.5530440509319305,0,0.0,3,0,1,0,S,Real Oviedo,0,0.5530440509319305,0.0933774597942829,0.0351529419422149,La_Liga,0
14352,César Palacios,1,22,0,0.0884153470396995,0,0.0,1,0,0,0,S,Real Madrid,0,0.0884153470396995,0.1082489490509033,0.0198336020112037,La_Liga,0
14362,Hugo Burcio,1,4,0,0.0,0,0.0,0,0,0,0,S,Celta Vigo,0,0.0,0.1351992636919021,0.1351992636919021,La_Liga,0
14364,Job Ochieng,1,21,0,0.0,0,0.1534191071987152,0,2,0,0,S,Real Sociedad,0,0.0,0.1534191071987152,0.1138365715742111,La_Liga,0
14366,Álex Sánchez,1,5,0,0.0,1,0.0798447132110595,0,1,0,0,S,Elche,0,0.0,0.0798447132110595,0.0798447132110595,La_Liga,1
14387,Zaid Romero,7,630,0,0.4051246307790279,0,0.0180885568261146,5,1,1,0,D,Getafe,0,0.4051246307790279,0.6620251312851906,0.4702281877398491,La_Liga,6
14389,Sebastián Boselli,5,111,0,0.3355171978473663,0,0.0,2,0,0,0,D S,Getafe,0,0.3355171978473663,0.0,0.0,La_Liga,3
14392,Ángel Pérez,4,219,0,0.1726779751479625,0,0.0,3,0,0,0,M S,Alaves,0,0.1726779751479625,0.8527507372200489,0.6800727248191833,La_Liga,3
14393,Thiago Fernández,5,129,0,0.1801001764833927,1,0.9489700980484486,3,2,1,0,S,Real Oviedo,0,0.1801001764833927,1.5735945031046867,0.5027487389743328,La_Liga,1
14396,Alexander Freeman,3,26,0,0.0,0,0.0,0,0,0,0,S,Villarreal,0,0.0,0.0,0.0,La_Liga,0
14397,Tai Abed,2,17,0,0.0,0,0.0,0,0,0,0,S,Levante,0,0.0,0.0,0.0,La_Liga,0
14400,Lucas Cepeda,5,271,0,0.5320266000926495,0,0.1248888727277517,7,4,1,0,M S,Elche,0,0.5320266000926495,1.1806114614009855,0.6972932517528534,La_Liga,3
14413,Wesley,2,60,0,0.0,0,0.0,0,0,0,0,M S,Real Sociedad,0,0.0,0.0609943121671676,0.0609943121671676,La_Liga,0
14439,Obed Vargas,2,50,0,0.0,0,0.0,0,0,0,0,S,Atletico Madrid,0,0.0,0.3803324401378631,0.3803324401378631,La_Liga,2
14500,Andrés Antañón,1,15,0,0.0,0,0.0,0,0,0,0,S,Celta Vigo,0,0.0,0.0,0.0,La_Liga,0
14502,Manuel Ángel,1,1,0,0.0,0,0.0,0,0,0,0,S,Real Madrid,0,0.0,0.0,0.0,La_Liga,1
8260,Erling Haaland,28,2349,22,22.83012153953314,7,4.683228434994817,98,20,1,0,F S,Manchester City,19,19.78544609993696,25.735398642718792,4.016049100086093,EPL,6
13222,Thiago,29,2482,18,19.269277423620224,1,3.020253881812096,67,17,6,0,F S,Brentford,12,13.941095478832722,17.507677353918552,3.4387592002749443,EPL,13
11363,Antoine Semenyo,28,2520,15,11.118625881150365,4,3.091043023392558,67,32,6,0,F M,"Bournemouth,Manchester City",14,9.59628818370402,15.76863793283701,4.557715917006135,EPL,20
8272,João Pedro,29,2175,14,13.869568087160587,5,3.730416428297758,57,27,4,0,F M S,Chelsea,14,13.869568087160587,16.999156791716814,4.4597298093140125,EPL,15
